# ----------------------------------------
# http://abels.co.uk
# Untitled exploration-CW Report Dashboard Data
# 20260101-20260604
# ----------------------------------------

Date,Active users,Engaged sessions per active user,Average engagement time per session,Sessions,Returning users,Total users,New users,Session key event rate
20260405,42,0.47619047619047616,28.456521739130434,46,5,42,41,0.043478260869565216
20260314,41,0.5365853658536586,24.886363636363637,44,1,43,40,0.022727272727272728
20260322,40,0.625,37.906976744186046,43,3,41,39,0
20260516,39,1.0769230769230769,17.714285714285715,42,5,39,34,0.023809523809523808
20260604,39,0.02564102564102564,15.6,40,2,40,32,0.025
20260412,38,0.42105263157894735,26.195121951219512,41,3,38,38,0.07317073170731707
20260328,37,0.5675675675675675,19.74418604651163,43,5,40,34,0
20260301,35,0.45714285714285713,20.475,40,3,38,32,0.025
20260315,35,0.7142857142857143,31.666666666666668,39,5,36,31,0.07692307692307693
20260321,35,0.5428571428571428,20.114285714285714,35,2,35,33,0
20260419,34,0.35294117647058826,23.94736842105263,38,5,35,32,0.07894736842105263
20260425,33,0.6363636363636364,64.16666666666667,36,4,34,29,0.027777777777777776
20260307,32,0.5625,30.055555555555557,36,1,35,32,0.027777777777777776
20260308,31,0.4838709677419355,55.08108108108108,37,3,33,30,0.08108108108108109
20260404,28,0.6071428571428571,37.51724137931034,29,1,28,27,0.034482758620689655
20260214,27,0.4074074074074074,32.67857142857143,28,0,28,26,0
20260215,27,0.5925925925925926,46.333333333333336,30,3,28,26,0
20260411,23,0.7391304347826086,41.48148148148148,27,2,25,21,0.07407407407407407

